INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,ITEM_INDEX,ALL_GM_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
202404,211412,SPRAY OIL BOTTLE 190-220MLS,1,108.37700000000001,106.92299999999999,0.054000000000000006,0.04,0.043
202404,211501,CHEDDAR-HOME PRODUCED PER KG,1,99.26799999999999,99.47399999999999,1.983,2.0,1.601
202404,211506,"CHEESE SPREAD, 110G-200G TUB",1,96.863,96.35799999999999,0.7929999999999999,0.8,0.64
202404,211509,HARD REGIONAL CHEESE PER KG,1,99.585,99.47399999999999,0.23800000000000002,0.24,0.192
202404,211510,PARMESAN CHEESE-PER KG,1,99.56200000000001,99.661,0.436,0.44,0.35200000000000004
202404,211511,SOFT CONTINENTAL CHEESE - KG,1,97.84700000000001,97.749,0.516,0.52,0.41600000000000004
202404,211604,EGGS PER DOZEN OR 2 X 6 BOX,1,100.115,100.241,1.37,1.0,1.105
202404,211707,DELVD MILK SEMI-SKIMMED PER PT,1,100.459,100.459,0.14800000000000002,0.12,0.11900000000000001
202404,211709,SHOP MILK-WHOLE MILK-4PT/2LTR,1,99.834,99.82600000000001,0.601,0.54,0.485
202404,211710,MILK SEMI-PER 2 PINTS/1.136 L,1,100.027,100.027,2.1830000000000003,1.77,1.7619999999999998
202404,211713,"MILK FLAVOURED, 180-500MLS/GMS",1,97.575,97.272,0.282,0.24,0.22699999999999998
202404,211714,NON-DAIRY MILK DRINK 900ML-1LT,1,97.896,97.67299999999999,0.387,0.33,0.313
202404,211807,"YOGHURT/FROMAGE 4-6PK, 45-125G",1,100.48299999999999,100.795,1.62,1.8,1.308
202404,211808,CHILLED POT DESSERT 125-200G,1,99.69200000000001,99.946,0.986,0.84,0.7959999999999999
202404,211814,YOGHURT-SMALL INDIVIDUAL,1,98.33200000000001,98.601,0.504,0.56,0.40700000000000003
202404,211815,FRESH DOUBLE CREAM 250ML-300ML,1,99.311,99.292,0.563,0.48,0.455
202404,211816,POWDERED BABY FORMULA 400-900G,1,95.72,95.766,0.376,0.32,0.303
202404,211901,TEA BAGS PKT OF 80 (230G-250G),1,101.569,101.755,0.473,0.67,0.381
202404,211904,TEA BAGS PACKET OF 210-240,1,102.428,102.885,0.141,0.2,0.114
202404,211905,"FLAVRD TEA 15-20 BAGS, 30-40G",1,102.779,102.324,0.092,0.13,0.07400000000000001
202404,212001,"FRUIT SQUASH, 750ML - 1.5LT",1,92.85700000000001,93.34700000000001,0.8809999999999999,0.81,0.711
202404,212006,FRUIT JUICE NOT ORANGE 1L,1,103.65700000000001,103.52,0.5870000000000001,0.54,0.474
202404,212008,LEMONADE-2 LITRE BOTTLE,1,98.55799999999999,99.525,0.196,0.18,0.158
202404,212010,MINERAL WATER STILL 1.5-2L,1,101.12299999999999,101.755,0.28300000000000003,0.45,0.228
202404,212015,FIZZY ENERGY DRINK 250-500ML,1,103.939,103.506,1.274,1.17,1.0290000000000001
202404,212016,FRESH/CHILL ORANGE JUICE 900ML,1,102.366,103.167,0.8809999999999999,0.81,0.711
202404,212017,FIZZY BOTTLED DRINK 500ML,1,100.405,100.538,1.568,1.44,1.266
202404,212020,FRUIT DRINK BOTTLE 4-8 PACK,1,103.273,103.37299999999999,0.098,0.09,0.079
202404,212021,BOTTLE STILL WATER 500ML,1,100.897,100.905,0.28300000000000003,0.45,0.228
202404,212022,MIXER DRINK BOTTLE 1L EG TONIC,1,98.596,97.656,0.588,0.54,0.475
202404,212023,COLA/FIZZY DRINK 330ML PK 4-8,1,103.141,103.057,0.392,0.36,0.316
202404,212024,FLAVOURED WATER BOTT 900ML-1.5,1,107.721,107.335,0.34,0.54,0.27399999999999997
202404,212025,"COLA DRINK, REG,BOTTLE,1.25-2L",1,99.19,98.772,0.588,0.54,0.475
202404,212026,"COLA DRINK, DIET 1.25-2LTR",1,99.618,98.193,0.882,0.81,0.7120000000000001
202404,212027,FRUIT/VEG SMOOTHIE,1,95.189,94.244,0.294,0.27,0.237
202404,212101,SUGAR -GRANULATED-WHITE-PER KG,1,100.085,100.066,0.599,0.32,0.484
202404,212106,JAR OF JAM-340-454G,1,97.919,98.006,0.6890000000000001,0.5,0.556
202404,212107,HONEY JAR/BOTTLE 340G-454G,1,96.039,94.744,0.248,0.18,0.2
202404,212202,MINTS,1,104.44,103.928,0.044000000000000004,0.12,0.035
202404,212211,CHOCOLATE 4,1,101.13,101.459,0.7909999999999999,2.16,0.639
202404,212214,FRUIT PASTILLES 2,1,110.09200000000001,110.448,0.44,1.2,0.355
202404,212217,CHEWING/BUBBLE GUM-SINGLE PK,1,100.853,100.93799999999999,0.08800000000000001,0.24,0.071
202404,212218,CARTON/BOX OF CHOCS 150-400GM,1,100.376,100.587,1.355,1.32,1.094
202404,212222,CHOCOLATE 10,1,102.76,102.49,1.848,1.8,1.4909999999999999
202404,212223,BRAND CHOC SWEETS 90-185G BAG,1,102.795,102.895,0.616,0.6,0.49700000000000005
202404,212224,"SWEETS, NOT CHOC, 150-250G BAG",1,101.663,101.529,0.527,1.44,0.426
202404,212225,CHOCOLATE LARGE BAR 100-200G,1,105.398,106.81,1.848,1.8,1.4909999999999999
202404,212226,CHOCOLATE 12,1,104.257,104.448,0.44,1.2,0.355
202404,212228,MALTED CHOCOLATE SWEETS,1,104.251,104.249,0.044000000000000004,0.12,0.035
202404,212309,POTATOES-NEW-PER KG,1,100.20299999999999,101.926,0.244,0.24,0.19699999999999998
202404,212310,POTATOES- OLD WHITE PER KG,1,118.0,118.82600000000001,0.59,0.58,0.47600000000000003
202404,212311,POTATOES- BAKING PR KG,1,104.975,105.523,0.183,0.18,0.14800000000000002
202404,212402,POTATO CRISPS 25G-50G,1,100.709,100.569,0.733,0.42,0.5920000000000001
202404,212404,POTATO CRISPS-MULTI-PACK,1,100.39200000000001,100.11,1.9369999999999998,1.11,1.564
202404,212405,FROZEN CHIPS 900G-1.5KG,1,97.874,97.804,0.946,0.93,0.763
202404,212408,PREMIUM POTATO CRISPS/CHIPS,1,94.014,95.041,0.47100000000000003,0.27,0.38
202404,212409,P'PARED MASHED POTATO 400-650G,1,100.258,100.007,0.275,0.27,0.222
202404,212504,FRESH VEG-CAULIFLOWER-EACH,1,103.693,104.801,0.419,0.42,0.33899999999999997
202404,212510,FRESH VEG-CUCUMBER-WHOLE,1,102.70200000000001,101.87200000000001,0.36,0.36,0.29
202404,212511,FRESH VEG-LETTUCE-ICEBERG-EACH,1,108.846,108.93299999999999,0.3,0.3,0.242
202404,212515,FRESH VEG-TOMATOES-PER KG,1,101.59,101.791,0.9590000000000001,0.96,0.774
202404,212516,FRESH VEG-CABBAGE-WHOLE-PER KG,1,102.50299999999999,101.791,0.18,0.18,0.145
202404,212518,FRESH VEG-CARROTS-PER KG,1,102.86200000000001,104.066,0.3,0.3,0.242
202404,212519,FRESH VEG-ONIONS-PER KG,1,98.82600000000001,98.823,0.599,0.6,0.484
202404,212520,FRESH VEG-MUSHROOMS-PER KG,1,99.52799999999999,99.399,0.479,0.48,0.387
202404,212530,FRESH VEG-BROCCOLI-PER KG,1,98.413,100.471,0.24,0.24,0.193
202404,212531,FRESH VEG-COURGETTE-PER KG,1,102.02799999999999,101.794,0.419,0.42,0.33899999999999997
202404,212532,FRESH VEG-PEPPERS -LOOSE OR KG,1,104.464,106.353,0.419,0.42,0.33899999999999997
202404,212533,VEGETABLE STIR FRY FRESH PACK,1,100.323,100.527,0.3,0.3,0.242
202404,212535,SWEET POTATO PER KG OR EACH,1,103.90700000000001,104.31,0.26899999999999996,0.36,0.217
202404,212536,GREEN BEANS PER KG OR PACK,1,100.979,100.445,0.24,0.24,0.193
